"","Phylum","Class","Order","Family","WW","SM"
"1","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",1,NA
"2","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae",NA,1
"3","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae",NA,4
"4","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",1,1
"5","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae",3,2
"6","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae",2,NA
"7","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",8,5
"8","Actinobacteriota","Actinobacteria","PeM15",NA,3,NA
"9","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae",1,NA
"10","Actinobacteriota",NA,NA,NA,1,NA
"11","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae",2,NA
"12","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2",1,NA
"13","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae",1,NA
"14","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae",1,NA
"15","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",3,NA
"16","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae",1,NA
"17","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae",NA,1
"18","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae",1,NA
"19","Bacteroidota","Bacteroidia","Bacteroidetes_VC2.1_Bac22",NA,2,NA
"20","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",5,2
"21","Bacteroidota","Bacteroidia","Chitinophagales",NA,2,1
"22","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,2
"23","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae",3,NA
"24","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae",5,5
"25","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae",14,5
"26","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",38,25
"27","Bacteroidota","Bacteroidia","Flavobacteriales","NS7_marine_group",2,2
